Name,Address,Discount,Category
Tsujiri,"1418 Rue Crescent, Montréal, QC",10% off,Restaurants
Yen Cuisine Japonaise,"2157 Rue Mackay, Montréal, QC",10% off,Restaurants
San-O Brasserie,"1350 Rue Mazurette, Unit 104, Montréal, QC","10% off, excluding alcohol",Restaurants
Charyū Tea House,"6872 Rue Saint-Hubert, Montréal, QC",10% off,Restaurants
Thés Guru Store,"1289 Rue Beaubien E, Montréal, QC",10% off,Restaurants
Mai Thai Cuisine,"1743 Rue Saint-Denis, Montréal, QC",12% off,Restaurants
Restaurant Pinophyta,"1186 Avenue Union, Montréal, QC",10% off,Restaurants
Onigiri Shop Concordia,"2285 Rue Saint-Mathieu, Suite 105, Montréal, QC",15% off,Restaurants
Le Restaurant Dumpling Shop,"3575 Avenue du Parc, Montréal, QC",15% off,Restaurants
Oh Dumplings Express Concordia,"2065B Rue Bishop, Montréal, QC",15% off and a free canned drink,Restaurants
New Oriental,"2350 Rue Guy, Montréal, QC",10% off,Restaurants
Nouilles Zhonghua,"908 Rue Sherbrooke O, Montréal, QC",10% off,Restaurants
DONDONYA,"1433A Rue Bishop, Montréal, QC",10% off,Restaurants
Cuisine Formosa,"2230 Rue Guy, Montréal, QC",10% off,Restaurants
#Tea Shop,"52C Rue De la Gauchetière O, Montréal, QC","10% off by card, 20% off with cash",Restaurants
MajesThé,"575 Boulevard de Maisonneuve O, Montréal, QC",10% off,Restaurants
Café Noya,"2053 Rue Peel, Montréal, QC",15% off,Restaurants
Accio Cup,"2155 Rue Mackay, Montréal, QC",10% off,Restaurants
Salon Rium,"570 Avenue du Président-Kennedy, Montréal, QC","5% off haircuts, 10% off other services",Other
Marché Newon Downtown,"1616 Rue Sainte-Catherine O, Suite 302, Montréal, QC","10% off, except milk, yogurt, eggs, bread, rice, discounted items, and weekly specials",Other
